scene_id,im_id,obj_id,score,R,t,time
1,6,3,1.0,0.9326630234718323 0.3191804587841034 -0.1681174486875534 -0.1414627730846405 0.7522873878479004 0.6434687972068787 0.33185526728630066 -0.5763571858406067 0.7467827796936035,-49.287304282188416 -98.9113301038742 388.63614201545715,-1
1,6,6,1.0,-0.783360481262207 -0.5789540410041809 0.22618305683135986 -0.20091718435287476 -0.10850079357624054 -0.9735810160636902 0.5881995558738708 -0.808108925819397 -0.03132655471563339,-100.05643963813782 -141.2087231874466 627.4368762969971,-1
1,6,8,1.0,0.32411831617355347 0.3506636619567871 0.878625214099884 -0.41561710834503174 0.8871124982833862 -0.20073291659355164 -0.8498291969299316 -0.30011048913002014 0.43327125906944275,-234.5823496580124 -150.79805254936218 551.5703558921814,-1
1,7,1,1.0,0.9367640614509583 0.3198543190956116 -0.14200803637504578 -0.19794170558452606 0.8188979625701904 0.5387255549430847 0.2886037826538086 -0.4765494167804718 0.8304266929626465,-50.048407167196274 -98.17501902580261 392.8523659706116,-1
1,7,3,1.0,0.7302202582359314 -0.5988835692405701 -0.32881155610084534 -0.23148974776268005 0.23592674732208252 -0.9437962174415588 0.6427993774414062 0.7652955651283264 0.03364310786128044,-255.4529309272766 -144.35094594955444 458.57980847358704,-1
1,7,6,1.0,-0.856829047203064 -0.46720004081726074 0.21810151636600494 -0.17884282767772675 -0.12743964791297913 -0.9755892753601074 0.48359012603759766 -0.8749191761016846 0.025638606399297714,-106.6911593079567 -171.06017470359802 702.9343247413635,-1
1,7,8,1.0,-0.37384817004203796 -0.42847299575805664 0.8225864768028259 0.39862143993377686 -0.8750323057174683 -0.2746261954307556 0.8374596238136292 0.2252320945262909 0.497927725315094,-213.07188272476196 -109.04128849506378 523.1907963752747,-1
1,8,1,1.0,0.93592369556427 0.3224423825740814 -0.1416970193386078 -0.20477688312530518 0.8255072236061096 0.5259320735931396 0.2865546643733978 -0.4632159471511841 0.8386402726173401,-52.643485367298126 -100.21999478340149 407.7358543872833,-1
1,8,3,1.0,-0.9841287136077881 -0.1499888002872467 0.09483750909566879 -0.17602166533470154 0.75725257396698 -0.6289555430412292 0.022520340979099274 -0.6356666088104248 -0.7716352343559265,-256.47369027137756 -139.77667689323425 438.4114146232605,-1
1,8,6,1.0,-0.7762680053710938 -0.5872832536697388 0.22914279997348785 -0.20076705515384674 -0.11424877494573593 -0.972954273223877 0.5975789427757263 -0.8012775778770447 -0.029219478368759155,-100.81607848405838 -140.49853384494781 631.6366195678711,-1
1,8,8,1.0,-0.37394922971725464 -0.43082308769226074 0.8213120102882385 0.3941599130630493 -0.8754309415817261 -0.2797476053237915 0.8395236730575562 0.21911686658859253 0.49717986583709717,-213.31247687339783 -108.70085656642914 523.6766338348389,-1
1,9,1,1.0,0.9353094100952148 0.3322215676307678 -0.12175852060317993 -0.23488056659698486 0.8403205275535583 0.4885616898536682 0.2646269202232361 -0.42835766077041626 0.8639920949935913,-50.388649106025696 -96.69416397809982 392.24210381507874,-1
1,9,3,1.0,0.4607732594013214 -0.8778387308120728 -0.13071808218955994 -0.5946390628814697 -0.1960139125585556 -0.7797326445579529 0.658856987953186 0.4370099902153015 -0.6123151183128357,-200.85586607456207 -105.19272089004517 379.9934387207031,-1
1,9,6,1.0,0.6846189498901367 -0.6862705945968628 0.2456209510564804 -0.23337708413600922 -0.5256141424179077 -0.8180862069129944 0.6905303001403809 0.5027550458908081 -0.5200051665306091,-50.76119303703308 -129.7830045223236 597.12153673172,-1
1,9,8,1.0,-0.3687105178833008 -0.43231505155563354 0.8228950500488281 0.3935387134552002 -0.8746143579483032 -0.283155232667923 0.8421280980110168 0.21943874657154083 0.49261221289634705,-213.06104958057404 -108.66061598062515 522.5217938423157,-1
1,10,1,1.0,-0.9807791709899902 -0.17803210020065308 -0.07985446602106094 -0.023029731586575508 0.5120169520378113 -0.8586665987968445 0.19375701248645782 -0.840323269367218 -0.5062755942344666,-272.3337411880493 -139.63766396045685 474.5067059993744,-1
1,10,3,1.0,0.9381665587425232 0.3132806420326233 -0.14730466902256012 -0.18837572634220123 0.8189789056777954 0.5420223474502563 0.2904444932937622 -0.4807586371898651 0.8273531198501587,-49.30786043405533 -98.26622158288956 392.2884166240692,-1
1,10,6,1.0,0.669590950012207 -0.6957176327705383 0.26004835963249207 -0.2581782341003418 -0.5463131666183472 -0.7967972755432129 0.6964136958122253 0.46638941764831543 -0.5454254150390625,-52.827123552560806 -131.48842751979828 600.418746471405,-1
1,10,8,1.0,-0.3762398064136505 -0.4306762218475342 0.8203424215316772 0.3944988548755646 -0.8755958676338196 -0.2787519693374634 0.838340163230896 0.2187465876340866 0.49933525919914246,-212.99287676811218 -109.22522842884064 523.1369137763977,-1
1,11,1,1.0,0.9404907822608948 0.30953842401504517 -0.14022472500801086 -0.19262605905532837 0.8255572319030762 0.5304247140884399 0.2799503803253174 -0.47184866666793823 0.8360542058944702,-48.96891489624977 -99.11780059337616 392.52549409866333,-1
1,11,3,1.0,-0.984931230545044 -0.15234361588954926 0.08186588436365128 -0.17116333544254303 0.790844738483429 -0.5875949859619141 0.024773135781288147 -0.592752993106842 -0.8050032258033752,-262.827068567276 -144.15501058101654 446.0272490978241,-1
1,11,6,1.0,0.6839513182640076 -0.6900432109832764 0.2367510050535202 -0.24026143550872803 -0.5194817185401917 -0.8200080394744873 0.6888288855552673 0.5039634108543396 -0.5210909247398376,-49.466341733932495 -129.77570295333862 592.1958684921265,-1
1,11,8,1.0,0.36567094922065735 0.4017041027545929 0.839594304561615 -0.4111625850200653 0.8789952397346497 -0.24148057401180267 -0.835003137588501 -0.2569073438644409 0.4865886867046356,-231.24568164348602 -148.86243641376495 540.3236746788025,-1
1,12,1,1.0,0.9405360221862793 0.30441248416900635 -0.1507481038570404 -0.16711290180683136 0.8010027408599854 0.5748633742332458 0.29574525356292725 -0.5154876708984375 0.804243266582489,-47.91150242090225 -99.27678853273392 392.01945066452026,-1
1,12,3,1.0,-0.9692725539207458 -0.06002001464366913 -0.23855425417423248 0.18630628287792206 0.4541250467300415 -0.8712406158447266 0.1606253683567047 -0.8889139294624329 -0.42898887395858765,-273.8833427429199 -134.86625254154205 472.61881828308105,-1
1,12,6,1.0,-0.7771763801574707 -0.5882361531257629 0.2235517054796219 -0.2094217985868454 -0.09322968870401382 -0.9733707904815674 0.5934135317802429 -0.8032974004745483 -0.050733551383018494,-98.7856313586235 -154.1391760110855 661.1965894699097,-1
1,12,8,1.0,-0.3724742829799652 -0.4318443536758423 0.8214460015296936 0.39311277866363525 -0.8752231001853943 -0.28186362981796265 0.840669572353363 0.21793395280838013 0.49576154351234436,-212.89433538913727 -110.49702763557434 524.4054198265076,-1
1,34,1,1.0,0.6152257919311523 -0.7858818769454956 -0.06234315037727356 -0.44959840178489685 -0.284806489944458 -0.8466088175773621 0.6475788354873657 0.5488851070404053 -0.5285516977310181,-177.03348398208618 -98.78671169281006 399.8888432979584,-1
1,34,3,1.0,-0.7362260818481445 -0.6253321766853333 0.2587098777294159 -0.18514133989810944 -0.18158864974975586 -0.9657889604568481 0.650917649269104 -0.758936882019043 0.017915446311235428,-47.19388112425804 -125.21831691265106 622.5206851959229,-1
