scene_id,im_id,obj_id,score,R,t,time
1,0,1,1.0,"0.9392693638801575, 0.3197930157184601, -0.12452170997858047, -0.22263404726982117, 0.8439416289329529, 0.4880538880825043, 0.2611652910709381, -0.4306912422180176, 0.8638851642608643","-51.59546807408333, -97.53834456205368, 393.88418197631836",-1
1,0,3,1.0,"-0.9853751063346863, -0.17014184594154358, -0.00936602707952261, -0.0816405788064003, 0.5196381211280823, -0.8504769206047058, 0.14956864714622498, -0.8372740745544434, -0.5259289741516113","-260.09729504585266, -133.63508880138397, 452.26967334747314",-1
1,0,6,1.0,"0.7113244533538818, -0.2922373414039612, -0.6392298936843872, -0.2775745987892151, 0.7187402248382568, -0.6374675631523132, 0.6457321047782898, 0.6308802962303162, 0.43013980984687805","-241.67579412460327, -149.44307506084442, 612.9481792449951",-1
1,0,8,1.0,"-0.6615702509880066, -0.6935180425643921, 0.2852327823638916, -0.19575679302215576, -0.2074589729309082, -0.9584571719169617, 0.7238813638687134, -0.6899229884147644, 0.0014878064393997192","-95.77066451311111, -122.5702241063118, 581.0001492500305",-1
1,2,1,1.0,"0.9380668997764587, 0.3224661350250244, -0.1266738325357437, -0.2248363047838211, 0.8447980284690857, 0.48555612564086914, 0.26358920335769653, -0.4270032048225403, 0.864979088306427","-51.3274222612381, -98.19051623344421, 393.8879072666168",-1
1,2,3,1.0,"0.7061878442764282, -0.288237601518631, -0.6466977596282959, -0.277536004781723, 0.7275938987731934, -0.6273601651191711, 0.6513621807098389, 0.6225160360336304, 0.43382152915000916","-241.59306287765503, -150.1471847295761, 612.8072738647461",-1
1,2,6,1.0,"-0.9830832481384277, -0.18301336467266083, 0.007295801304280758, -0.10561344027519226, 0.5338737964630127, -0.8389425277709961, 0.149642676115036, -0.8255210518836975, -0.544171154499054","-256.7236125469208, -133.30528140068054, 446.86129689216614",-1
1,2,8,1.0,"-0.001462601125240326, -0.9365790486335754, 0.3504529595375061, -0.7973976731300354, -0.2103898525238037, -0.5655909180641174, 0.6034524440765381, -0.2802776098251343, -0.7465183734893799","-96.27790004014969, -144.8976844549179, 618.1897521018982",-1
1,4,1,1.0,"0.9408586621284485, 0.3156687319278717, -0.12303800880908966, -0.21926696598529816, 0.8441874980926514, 0.48915213346481323, 0.25827714800834656, -0.4332447946071625, 0.8634766936302185","-51.34371295571327, -98.43018651008606, 394.17949318885803",-1
1,4,3,1.0,"0.7228019833564758, -0.29159101843833923, -0.6265238523483276, -0.26886802911758423, 0.716524600982666, -0.6436634659767151, 0.6366061568260193, 0.6336933970451355, 0.43950584530830383","-242.5910383462906, -150.6645679473877, 614.6050691604614",-1
1,4,6,1.0,"-0.9861090779304504, -0.16604545712471008, -0.004223993979394436, -0.08125840127468109, 0.5044440031051636, -0.8596122860908508, 0.1448654979467392, -0.847328245639801, -0.5109294056892395","-261.4993155002594, -134.79779660701752, 454.1776478290558",-1
1,4,8,1.0,"-0.7416025400161743, -0.627741277217865, 0.23657259345054626, -0.19658160209655762, -0.13381415605545044, -0.9713132977485657, 0.6413901448249817, -0.7668342590332031, -0.024165479466319084","-102.11462527513504, -128.20331752300262, 589.849591255188",-1
1,5,1,1.0,"0.9381047487258911, 0.3226962089538574, -0.12580373883247375, -0.22592569887638092, 0.8454436659812927, 0.4839242100715637, 0.26252052187919617, -0.42554932832717896, 0.8660200834274292","-51.14702507853508, -98.5737293958664, 392.90645718574524",-1
1,5,3,1.0,"0.7145704030990601, -0.29590505361557007, -0.6338999271392822, -0.2733389139175415, 0.7160056829452515, -0.6423563361167908, 0.643952488899231, 0.6322785019874573, 0.4307541847229004","-241.96818470954895, -150.90617537498474, 612.3807430267334",-1
1,5,6,1.0,"-0.9797238707542419, -0.19802117347717285, -0.030477173626422882, -0.07700289785861969, 0.5125954747200012, -0.855170488357544, 0.18496431410312653, -0.8354840874671936, -0.517450213432312","-265.22642374038696, -136.04016602039337, 459.61058139801025",-1
1,5,8,1.0,"-0.6985278129577637, -0.6808722615242004, 0.22016339004039764, -0.2462880164384842, -0.06011657789349556, -0.9673304557800293, 0.6718639731407166, -0.7299309372901917, -0.1256975531578064","-95.45831382274628, -124.64655190706253, 582.7397704124451",-1
1,6,1,1.0,"0.9396043419837952, 0.31895071268081665, -0.12415330857038498, -0.2225712537765503, 0.8449717164039612, 0.486297070980072, 0.26001086831092834, -0.4292939603328705, 0.8649284243583679","-51.146626472473145, -98.7938791513443, 393.12851428985596",-1
1,6,3,1.0,"0.7225372791290283, -0.29227110743522644, -0.6265122294425964, -0.26991891860961914, 0.7150492072105408, -0.6448632478713989, 0.6364618539810181, 0.6350452303886414, 0.4377601742744446","-242.4715757369995, -151.3756364583969, 613.6680841445923",-1
1,6,6,1.0,"-0.9792986512184143, -0.20014290511608124, -0.030283546075224876, -0.08071020990610123, 0.5232756733894348, -0.8483327627182007, 0.18563443422317505, -0.8283268809318542, -0.5285966396331787","-262.6827359199524, -135.2473944425583, 454.4869661331177",-1
1,6,8,1.0,"-0.6789225935935974, -0.6831744909286499, 0.2689550518989563, -0.2192893624305725, -0.16091710329055786, -0.9622983336448669, 0.7006970047950745, -0.7123050689697266, -0.04056263342499733","-95.57847678661346, -129.73980605602264, 587.1570110321045",-1
1,7,1,1.0,"0.7304273247718811, -0.2854824960231781, -0.6204641461372375, -0.2674348056316376, 0.7163641452789307, -0.644438624382019, 0.6284541487693787, 0.6366493105888367, 0.44690394401550293","-243.51346492767334, -151.28500759601593, 616.05304479599",-1
1,7,3,1.0,"0.9382385611534119, 0.32236576080322266, -0.12565316259860992, -0.2237696796655655, 0.842367947101593, 0.49024829268455505, 0.2638854384422302, -0.4318525195121765, 0.8624777793884277","-51.004406064748764, -98.33234548568726, 393.2206630706787",-1
1,7,6,1.0,"-0.9833321571350098, -0.18173202872276306, -0.0055983541533350945, -0.08923294395208359, 0.5091997385025024, -0.8560099601745605, 0.15841510891914368, -0.8412426114082336, -0.5169289112091064","-260.03700494766235, -134.07963514328003, 451.56994462013245",-1
1,7,8,1.0,"-0.6978592872619629, -0.6753936409950256, 0.23840269446372986, -0.21902167797088623, -0.11567682027816772, -0.9688388109207153, 0.6819251179695129, -0.72832852602005, -0.0671997219324112","-94.59691494703293, -123.59987199306488, 578.7243843078613",-1
1,8,1,1.0,"0.939120352268219, 0.3200059235095978, -0.12509705126285553, -0.22298578917980194, 0.8446462750434875, 0.4866725206375122, 0.2614007592201233, -0.42914915084838867, 0.8645811676979065","-50.90213567018509, -97.98888117074966, 393.24551820755005",-1
1,8,3,1.0,"0.7380764484405518, -0.29408371448516846, -0.6072545051574707, -0.25304675102233887, 0.7136691808700562, -0.6531797051429749, 0.6254682540893555, 0.6357603669166565, 0.4523254334926605","-243.58080327510834, -150.69007873535156, 616.2182688713074",-1
1,8,6,1.0,"-0.980523407459259, -0.19278162717819214, -0.037538621574640274, -0.06437301635742188, 0.49602577090263367, -0.8659183979034424, 0.18555326759815216, -0.8466367721557617, -0.49877476692199707","-266.3310766220093, -135.66505908966064, 461.92437410354614",-1
1,8,8,1.0,"-0.7088096737861633, -0.6592594981193542, 0.25093016028404236, -0.19481399655342102, -0.1589411050081253, -0.9678767919540405, 0.6779650449752808, -0.7349250912666321, -0.015774009749293327","-100.85223615169525, -127.05974280834198, 589.66064453125",-1
1,9,1,1.0,"0.9380174279212952, 0.3224618434906006, -0.12705005705356598, -0.22435133159160614, 0.8443354368209839, 0.4865841269493103, 0.26417768001556396, -0.42792052030563354, 0.8643460273742676","-50.600193440914154, -97.8570505976677, 392.7500247955322",-1
1,9,3,1.0,"0.7113768458366394, -0.29048287868499756, -0.6399708390235901, -0.2734839618206024, 0.7244051098823547, -0.6328060626983643, 0.6474176645278931, 0.6251854300498962, 0.435882568359375","-241.77496135234833, -149.88210797309875, 611.6082072257996",-1
1,9,6,1.0,"-0.9851164221763611, -0.17185555398464203, 0.003379874862730503, -0.09533795714378357, 0.5299268960952759, -0.8426673412322998, 0.1430259644985199, -0.8304476141929626, -0.538424015045166","-257.5831711292267, -133.17237794399261, 446.67670130729675",-1
1,9,8,1.0,"-0.7184765934944153, -0.662501335144043, 0.21185711026191711, -0.21174375712871552, -0.08180180191993713, -0.9738958477973938, 0.6625375747680664, -0.7445808053016663, -0.0815078541636467","-96.61629050970078, -126.92289054393768, 588.8538956642151",-1
1,10,1,1.0,"0.9363164901733398, 0.3259375989437103, -0.13067609071731567, -0.22647425532341003, 0.8448907136917114, 0.48463335633277893, 0.2683671712875366, -0.4241753816604614, 0.8649014234542847","-50.11226609349251, -98.1038436293602, 392.2733664512634",-1
1,10,3,1.0,"0.7224162817001343, -0.2942594587802887, -0.6257204413414001, -0.26777341961860657, 0.7152612209320068, -0.6455219388008118, 0.6375045776367188, 0.6338869333267212, 0.4379214942455292","-242.87495017051697, -151.2119621038437, 614.7071123123169",-1
1,10,6,1.0,"-0.9854822158813477, -0.16975899040699005, -0.0025819758884608746, -0.08606696128845215, 0.5126280188560486, -0.8542861938476562, 0.14634639024734497, -0.8416616320610046, -0.5197963714599609","-259.5188021659851, -134.32720303535461, 450.6012201309204",-1
1,10,8,1.0,"-0.6483349800109863, -0.7060027718544006, 0.28499478101730347, -0.22926093637943268, -0.1759171485900879, -0.9573361277580261, 0.7260174751281738, -0.6860127449035645, -0.047805607318878174","-95.31276673078537, -127.48391926288605, 584.3361020088196",-1
1,11,1,1.0,"0.9355597496032715, 0.3275200426578522, -0.13213081657886505, -0.22805501520633698, 0.8459240198135376, 0.48208242654800415, 0.2696642577648163, -0.4208838641643524, 0.8661050796508789","-49.57742616534233, -98.71140122413635, 391.8400704860687",-1
1,11,3,1.0,"0.7183749079704285, -0.29207897186279297, -0.6313695907592773, -0.2764553129673004, 0.7129801511764526, -0.6443849205970764, 0.6383651494979858, 0.6374553442001343, 0.431440144777298","-242.7477389574051, -152.53543853759766, 614.7899627685547",-1
1,11,6,1.0,"-0.9803367853164673, -0.1949302852153778, -0.030690904706716537, -0.0795639231801033, 0.5327881574630737, -0.8425000905990601, 0.1805805265903473, -0.8234919905662537, -0.5378212332725525","-262.3957097530365, -136.0436975955963, 454.2853534221649",-1
