scene_id,im_id,obj_id,score,R,t,time
1,0,1,1.0,0.9411652684211731 0.31569620966911316 -0.12059815227985382 -0.2219788134098053 0.8465758562088013 0.4837716221809387 0.2548202872276306 -0.42853882908821106 0.8668456077575684,-51.7236702144146 -97.17056900262833 394.0333127975464,-1
1,0,3,1.0,0.7115828394889832 0.6430625319480896 -0.2830556631088257 -0.3004896640777588 0.642704963684082 0.7047242522239685 0.6351030468940735 -0.416414350271225 0.6505714058876038,-244.9132353067398 -171.80706560611725 613.0396127700806,-1
1,0,6,1.0,-0.9766522645950317 -0.2144835889339447 -0.012130608782172203 -0.09289009869098663 0.47254228591918945 -0.8763989806175232 0.19370543956756592 -0.8548102378845215 -0.4814329147338867,-262.0300352573395 -133.9491754770279 457.87420868873596,-1
1,0,8,1.0,-0.6242176294326782 -0.7327093482017517 0.2710895538330078 -0.18948623538017273 -0.19464117288589478 -0.9623979330062866 0.7579230070114136 -0.6521133780479431 -0.017339855432510376,-87.71829307079315 -116.02049320936203 559.2010021209717,-1
1,2,1,1.0,0.9417228698730469 0.31522315740585327 -0.11744047701358795 -0.22377319633960724 0.8477053046226501 0.48095861077308655 0.2511642575263977 -0.42664971947669983 0.8688420653343201,-51.50247365236282 -97.71692752838135 393.68340373039246,-1
1,2,3,1.0,0.724114179611206 0.6285413503646851 -0.28389155864715576 -0.2766023874282837 0.6417406797409058 0.7153042554855347 0.6317830085754395 -0.4394368529319763 0.6385495662689209,-245.48225104808807 -173.14085364341736 614.7933602333069,-1
1,2,6,1.0,-0.6155151724815369 -0.7432026863098145 0.2622806429862976 -0.18943530321121216 -0.18352071940898895 -0.964590311050415 0.7650198340415955 -0.6434051990509033 -0.027828991413116455,-86.83891594409943 -116.67632311582565 557.9931139945984,-1
1,2,8,1.0,-0.9739711880683899 -0.22630257904529572 0.012941816821694374 -0.14013883471488953 0.5562939643859863 -0.8190838694572449 0.17816130816936493 -0.7995775938034058 -0.5735279321670532,-254.05418872833252 -132.29747116565704 441.97365641593933,-1
1,4,1,1.0,0.9407973289489746 0.31766512989997864 -0.11827655136585236 -0.22538073360919952 0.846846878528595 0.4817197918891907 0.25318771600723267 -0.4265434443950653 0.8683068156242371,-51.4228455722332 -97.75055199861526 393.3258354663849,-1
1,4,3,1.0,0.7104170322418213 0.6406805515289307 -0.2912665605545044 -0.2982964813709259 0.6489583253860474 0.6999087929725647 0.6374377608299255 -0.41034331917762756 0.6521437168121338,-245.27901411056519 -172.86933958530426 613.2752895355225,-1
